nik,nama,alamat,usia,jenis_kelamin,pekerjaan,penghasilan,jumlah_tanggungan,pendidikan,status_rumah,kendaraan,status_pernikahan
7201010101010050,Nana Indriani,"Jl. Perkutut No. 50, Gorontalo",35,Perempuan,Ibu Rumah Tangga,1400000,2,SMP,Kontrakan,Tidak Ada,Menikah
7201010101010051,Eko Susanto,"Jl. Manggis No. 11, Gorontalo",48,Laki-laki,Pedagang Kaki Lima,1000000,3,SD,Kontrakan,Sepeda,Menikah
7201010101010052,Dian Wulandari,"Jl. Duku No. 14, Gorontalo",31,Perempuan,Pekerja Garmen,1900000,1,SMA,Milik Orang Tua,Tidak Ada,Menikah
7201010101010053,Ferry Ardian,"Jl. Rambutan No. 3, Gorontalo",25,Laki-laki,Karyawan Startup,4800000,0,Sarjana,Kontrakan,Motor,Lajang
7201010101010054,Agus Setiawan,"Jl. Durian No. 9, Gorontalo",55,Laki-laki,Pensiunan,1300000,2,SMP,Milik Sendiri,Motor,Menikah
7201010101010055,Rizky Pratama,"Jl. Salak No. 18, Gorontalo",22,Laki-laki,Pengantar Barang,1800000,0,SMA,Kontrakan,Motor,Lajang
7201010101010056,Citra Dewi,"Jl. Jeruk No. 21, Gorontalo",39,Perempuan,Penjual Online,3000000,2,Sarjana,Milik Sendiri,Tidak Ada,Menikah
7201010101010057,Herianto,"Jl. Kelapa No. 7, Gorontalo",45,Laki-laki,Pekerja Bangunan,1400000,4,SD,Kontrakan,Tidak Ada,Menikah
7201010101010058,Putu Sari,"Jl. Manggis No. 10, Gorontalo",29,Perempuan,Penulis,2500000,1,Sarjana,Milik Sendiri,Motor,Lajang
7201010101010059,Andika Yudha,"Jl. Nangka No. 25, Gorontalo",33,Laki-laki,Programmer,7500000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010060,Amelia Rizky,"Jl. Jambu No. 4, Gorontalo",28,Perempuan,Dokter Hewan,5500000,0,Sarjana,Kontrakan,Mobil,Lajang
7201010101010061,Bayu Santika,"Jl. Srikaya No. 16, Gorontalo",41,Laki-laki,Manajer Proyek,10000000,2,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010062,Ika Wahyuni,"Jl. Delima No. 19, Gorontalo",36,Perempuan,Guru Privat,2100000,2,SMA,Kontrakan,Motor,Menikah
7201010101010063,Candra Wijaya,"Jl. Mangga No. 22, Gorontalo",50,Laki-laki,Tukang Jahit,1200000,3,SD,Milik Sendiri,Tidak Ada,Menikah
7201010101010064,Lina Marlina,"Jl. Anggur No. 8, Gorontalo",30,Perempuan,Desainer Baju,3800000,1,Sarjana,Milik Sendiri,Motor,Lajang
7201010101010065,Danang Susanto,"Jl. Apel No. 13, Gorontalo",47,Laki-laki,Pekerja Tani,900000,4,SD,Milik Sendiri,Sepeda,Menikah
7201010101010066,Yulianti,"Jl. Alpukat No. 6, Gorontalo",26,Perempuan,Pegawai Restoran,2200000,0,SMP,Kontrakan,Motor,Lajang
7201010101010067,Mochamad Rasyid,"Jl. Melon No. 24, Gorontalo",35,Laki-laki,Arsitek,8500000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010068,Febriani,"Jl. Semangka No. 15, Gorontalo",28,Perempuan,Marketing,4200000,0,Sarjana,Milik Orang Tua,Mobil,Lajang
7201010101010069,Ayu Puspitasari,"Jl. Stroberi No. 1, Gorontalo",34,Perempuan,Ibu Rumah Tangga,1300000,3,SMA,Kontrakan,Tidak Ada,Menikah
7201010101010070,Hendro Sanjaya,"Jl. Tomat No. 17, Gorontalo",52,Laki-laki,Petani,1000000,5,SD,Milik Sendiri,Sepeda,Menikah
7201010101010071,Dwi Setiawan,"Jl. Wortel No. 3, Gorontalo",31,Laki-laki,Pedagang Grosir,3100000,2,Sarjana,Milik Sendiri,Motor,Menikah
7201010101010072,Nadia Rahma,"Jl. Labu No. 19, Gorontalo",29,Perempuan,Karyawan Swasta,3000000,0,Sarjana,Kontrakan,Motor,Lajang
7201010101010073,Rudi Kurniawan,"Jl. Mentimun No. 2, Gorontalo",46,Laki-laki,Buruh Pabrik,2500000,4,SMP,Milik Sendiri,Motor,Menikah
7201010101010074,Yani Susanti,"Jl. Kacang No. 28, Gorontalo",38,Perempuan,Penjual Jajanan,1500000,2,SD,Kontrakan,Tidak Ada,Menikah
7201010101010075,Arif Budiman,"Jl. Jagung No. 10, Gorontalo",32,Laki-laki,Karyawan BUMN,5000000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010076,Rika Puspita,"Jl. Sawi No. 12, Gorontalo",25,Perempuan,Pekerja Lepas,2800000,0,SMA,Milik Orang Tua,Motor,Lajang
7201010101010077,Sigit Wicaksono,"Jl. Bayam No. 27, Gorontalo",44,Laki-laki,Wiraswasta,6500000,3,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010078,Dewi Yuliani,"Jl. Kangkung No. 8, Gorontalo",30,Perempuan,Guru TK,1800000,1,SMA,Kontrakan,Motor,Menikah
7201010101010079,Bagas Wijaya,"Jl. Seledri No. 14, Gorontalo",29,Laki-laki,Tukang Listrik,2200000,0,SMP,Milik Sendiri,Motor,Lajang
7201010101010080,Santi Ambarwati,"Jl. Kol No. 20, Gorontalo",37,Perempuan,Ibu Rumah Tangga,1100000,2,SD,Kontrakan,Tidak Ada,Menikah
7201010101010081,Ferry Susilo,"Jl. Brokoli No. 1, Gorontalo",51,Laki-laki,Petani,1400000,4,SD,Milik Sendiri,Sepeda,Menikah
7201010101010082,Lala Rizky,"Jl. Kembang Kol No. 22, Gorontalo",26,Perempuan,Pramuniaga,2700000,0,SMA,Milik Orang Tua,Motor,Lajang
7201010101010083,Fajar Setiadi,"Jl. Bawang No. 25, Gorontalo",38,Laki-laki,Sopir,2000000,3,SMP,Kontrakan,Motor,Menikah
7201010101010084,Mega Lestari,"Jl. Cabai No. 18, Gorontalo",31,Perempuan,Pekerja Garmen,1500000,2,SMA,Milik Sendiri,Tidak Ada,Menikah
7201010101010085,Umar Bakri,"Jl. Jahe No. 16, Gorontalo",60,Laki-laki,Pensiunan,1000000,1,SD,Milik Sendiri,Tidak Ada,Menikah
7201010101010086,Alya Putri,"Jl. Lengkuas No. 23, Gorontalo",24,Perempuan,Mahasiswi,0,0,SMA,Milik Orang Tua,Motor,Lajang
7201010101010087,Wahyu Hidayat,"Jl. Kunyit No. 7, Gorontalo",35,Laki-laki,Guru SMP,3200000,2,Sarjana,Kontrakan,Motor,Menikah
7201010101010088,Vina Agustina,"Jl. Kencur No. 10, Gorontalo",29,Perempuan,Staff Administrasi,2800000,0,Sarjana,Milik Sendiri,Motor,Lajang
7201010101010089,Yusuf Hariyanto,"Jl. Lada No. 12, Gorontalo",49,Laki-laki,Pedagang,1400000,4,SD,Milik Sendiri,Sepeda,Menikah
7201010101010090,Zaskia Aditama,"Jl. Ketumbar No. 2, Gorontalo",27,Perempuan,Pengembang Aplikasi,6500000,0,Sarjana,Milik Sendiri,Mobil,Lajang
7201010101010091,Hafiz Maulana,"Jl. Kemiri No. 21, Gorontalo",33,Laki-laki,Analis Keuangan,9000000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010092,Bella Permata,"Jl. Cengkeh No. 24, Gorontalo",30,Perempuan,Dokter Umum,11000000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010093,Rangga Prasetyo,"Jl. Pala No. 17, Gorontalo",40,Laki-laki,Pengusaha,15000000,2,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010094,Niki Wulandari,"Jl. Kayu Manis No. 8, Gorontalo",28,Perempuan,Kasir,1800000,1,SMA,Kontrakan,Motor,Lajang
7201010101010095,Doni Wijaya,"Jl. Gandum No. 10, Gorontalo",35,Laki-laki,Wiraswasta,2900000,2,SMA,Milik Sendiri,Motor,Menikah
7201010101010096,Sinta Puspita,"Jl. Kedelai No. 16, Gorontalo",32,Perempuan,Ibu Rumah Tangga,1200000,3,SMP,Kontrakan,Tidak Ada,Menikah
7201010101010097,Bagas Prasetyo,"Jl. Kacang Hijau No. 23, Gorontalo",45,Laki-laki,Buruh Tani,1500000,5,SD,Milik Sendiri,Sepeda,Menikah
7201010101010098,Lisa Amalia,"Jl. Ubi No. 19, Gorontalo",29,Perempuan,Pegawai Koperasi,2400000,0,SMA,Milik Sendiri,Motor,Lajang
7201010101010099,Indra Susanto,"Jl. Singkong No. 1, Gorontalo",50,Laki-laki,Pensiunan,1100000,2,SMP,Milik Sendiri,Tidak Ada,Menikah
7201010101010100,Sarah Febriani,"Jl. Talas No. 4, Gorontalo",27,Perempuan,Akuntan,4000000,0,Sarjana,Kontrakan,Mobil,Lajang
